Disease,Symptoms,Medical_Specialty
anemia,"severity, signs, weakness, system:'you, the_causes, patients, anemia_signs, symptoms, skin_irregular_heartbeats, fatigue_weakness, feet_headaches, shortness, no_symptoms, breath_dizziness, it, you, lightheadedness_chest_pain_cold_hands, your_anemia, pale_skin, i, breath, anemia, patient, the_cause, they, fatigue","Dermatologist, Pulmonologist"
anemia due to chronic kidney disease,"weakness, pale_skin, fatigue",Nephrologist
anemia due to malignancy,"shortness, weakness, breath, pale_skin, fatigue","Dermatologist, Pulmonologist"
anemia of chronic disease,"exercise_tolerance, shortness, weakness, breath, pale_skin, fatigue","Dermatologist, Pulmonologist"
angelman syndrome,"minimal_speech_difficulty, no_crawling, that, the_back, system:'you, the_following_features, patients, no_speech, difficulty_trouble, laughter, symptoms, seizures, 6_to_12_months, angelman_syndrome, between_2_and_3_years, flatness, excitable_personality, the_head_tongue_thrusting_hair, sleep_problems, scoliosis, age_stiff_or_jerky_movements_small_head_size, asleep__people, angelman_syndrome_signs, intellectual_disability, hand_flapping, spine, skin, developmental_delays, who, eyes, i, arms, patient, color_unusual_behaviors","Dermatologist, Otolaryngologist"
angina,"back_nausea_shortness, new_or_different_symptoms, system:'you, patients, pain, shoulder, symptoms, angina_(unstable_angina, blood, angina_symptoms, the_arms, duration, heart_attack________________heart_attack_________heart_attack___heart_attack, an_artery, time, tissue, women, the_chest_pain, fatty_deposits, a_more_dangerous_form, a_blood_clot, the_most_prevalent_symptom, teeth, the_heart's_arteries, the_only_symptom, treatment, the_heart_muscle, dizziness_fatigue_nausea_shortness, stable_or_unstable_angina._angina, it, heart_attack___heart_attack, you, neck, the_classic_angina_symptoms, a_heart_attack, chest_pain, if_a_plaque_ruptures, oxygen, other_symptoms, example, fullness_pressure, chest_pressure_stomach_(abdominal)_pain, forming_plaques, blood_flow, who, the_arteries, delays, a_common_symptom, i, close__close_heart_attack___heart_attack, the_neck, breath, type, the_heart, lack, the_severity, a_health_care_provider, patient, discomfort, these_differences, heart_attack____________heart_attack___heart_attack, any_new_or_worsening_angina_symptoms, angina",Cardiologist
angiosarcoma,"that, system:'you, patients, pain, a_bruise-like_lesion, a_bruise, symptoms, the_skin, the_head, angiosarcoma, time, a_raised_area, it, neck, the_location, other_symptoms, angiosarcoma_signs, organs, this_form, skin, the_liver, the_scalp, i, the_angiosarcoma, the_heart, patient, the_cancer, the_lesion",Oncologist
angle-closure glaucoma,"headache, nausea, halos, lights, severe_eye_pain, blurred_vision",General Practitioner
ankylosing spondylitis,"early_symptoms, ligaments, the_joint, system:'you, the_back, the_hip_and_shoulder_joints, patients, symptoms, back_pain, the_areas, the_cartilage, periods, the_breastbone, inactivity, the_morning, time, tendons, the_heel, irregular_intervals, the_lower_back, bones, the_base, the_spine, the_vertebrae, ankylosing_spondylitis, neck_pain, i, the_ribs, patient, the_places, fatigue","Orthopedist, Otolaryngologist"
anorexia nervosa,"downy_hair, excuses, calluses, people, an_extremely_strong_fear, excessively_bingeing_and_self-induced_vomiting, the_fingers_hair, layers, weight, breaks, habits, i, patient, body_weight, sex, their_thinness, signs, individuals, system:'you, patients, fatigue_insomnia_dizziness, each_person, diet_aids, perceived_flaws, normal_weight, starvation, a_low_body_weight, skin_intolerance, emotion, which, elaborate_meals, meals, emotional_and_behavioral_signs, some_people, it, herbal_products, only_a_few_certain_""safe""_foods, others, anorexia_nervosa, the_body_absence, anorexia_binge, denial, developmental_weight, frequent_checking, dieting, who, laxatives, arms, the_mirror, some_individuals, preoccupation, that, an_unrealistic_perception, anorexia, blood, the_knuckles, physical_symptoms_physical_signs, fasting, food, thin_appearance, calories, body_image, legs, hunger, what, induced_vomiting, fainting_bluish_discoloration, clothing_flat_mood, lack, rigid_meal, attempts, how_much_food, enemas, menstruation_constipation, the_body, physical_problems, rituals, symptoms, emotional_and_behavioral_symptoms_behavioral_symptoms, food_intake, fear, emotional_and_behavioral_issues, them, extreme_weight_loss, fat, teeth, the_physical_signs, parts, the_use, an_abnormally_low_body_weight, bulimia","Dermatologist, Psychiatrist"
anorgasmia,"that_case, vaginal_penetration, problems, the_lack, system:'you, patients, a_significant_way, new_problems, direct_manual, stimulation, or_female_orgasmic_disorder, the_clitoris, sexual_activity, intense_pleasure, these, it, you, an_orgasm, anorgasmia, orgasms, many_women, any_situation__women, sexual_encounters, enough_stimulation, a_peak_feeling, oral_stimulation, any, response, who, certain_kinds, i, orgasm_absence, patient, this, certain_situations, a_disorder, orgasm_fewer_orgasms_less-intense_orgasms__anorgasmia, orgasm, sex, certain_partners",Psychiatrist
anthrax,"a_skin-related_(cutaneous)_anthrax_infection, the_disease, sore, breath_nausea, this_illustration, different_signs, other_sore, itchy_bump, flu-like_symptoms, injection, inhalation_anthrax___inhalation_anthrax, a_cut, the_later_stages, undercooked_meat, anthrax, i, four_common_routes, anthrax_spores, bump, patient, nearby_lymph_glands, an_infected_animal, signs, system:'you, patients, the_most_deadly_form, inhalation_anthrax, the_area, mild_chest_discomfort_shortness, illegal_drugs, the_infection, your_skin, swollen_neck__inhalation_anthrax____________inhalation_anthrax____________inhalation_anthrax___inhalation_anthrax, your_body, it, more_than_six_weeks, black)_significant_swelling_shock_multiple_organ_failure, an_open_wound, bloody_diarrhea, appropriate_treatment, an_acute_medical_condition, muscle, days, initial_signs, the_most_common_route, appetite_fever, fatigue, that, sore_throat, collapse, the_disease_sore_throat, swallowing_high_fever_trouble, close__close_inhalation_anthrax___inhalation_anthrax, fever_and_headache__gastrointestinal_anthrax, your_gastrointestinal_tract, europe, most_cases, inhalation_anthrax_symptoms, an_area, a_black_center, redness, each, six_days, exposure, spores, the_circulatory_system_meningitis__injection_anthrax, the_body, a_day, nausea, a_few_hours, symptoms, the_spores, your_throat, an_insect_bite, the_bacteria, treatment, anthrax_infection, inhalation_anthrax________________inhalation_anthrax_________inhalation_anthrax___inhalation_anthrax, you, breathing_shock, difficulty, route, mild_fever, the_bump, this, a_painless_sore, cutaneous_anthrax, your_colon, abdominal_pain_headache_loss","Infectious Disease Specialist, Otolaryngologist"
antibiotic associated diarrhea,"that, conditions, system:'you, patients, a_doctor, most_people, symptoms, more-frequent_bowel_movements__antibiotic-associated_diarrhea, serious_signs, antibiotic_treatment, antibiotic-associated_diarrhea, diarrhea, c._difficile_infection, a_more_serious_antibiotic-associated_diarrhea, dehydration, stool, blood_tests, these_signs, formerly_clostridium_difficile, loose_stools, even_weeks, you, more-frequent_bowel_movements, other_symptoms, a_number, mild_signs, lower_abdominal_pain_and_cramping_low-grade_fever_nausea_loss, addition, appetite, days, an_antibiotic, i, a_toxin-producing_bacterium, your_doctor, patient, infection_c._difficile, the_cause, tests, severe_diarrhea","Gastroenterologist, Infectious Disease Specialist"
antihypertensives poisoning,"slow_heart_rate, nausea, low_blood_pressure, dizziness","Cardiologist, Otolaryngologist"
antimicrobial drugs poisoning,"neurological_symptoms, diarrhea, nausea",Neurologist
antiphospholipid syndrome,"pregnancy, signs, system:'you, dvt, patients, pain, other_complications, the_brain, the_nose, symptoms, dangerously_high_blood_pressure, a_young_person, only_a_few_minutes, the_skin, less_common_signs, stillbirths, patches, no_permanent_damage, seizures, cardiovascular_disease, small_red_spots, blood_clots, episodes, repeated_miscarriages, no_known_risk_factors, clotting, tia, a_blood_clot, this_decrease, legs, migraines, some_people, a_stroke, chronic_headaches, preeclampsia, a_lacy, antiphospholipid_syndrome, net-like_pattern, cardiovascular_diseases, blood_cells, these_clots, low_blood_platelet_counts, thrombocytopenia, premature_delivery, a_red_rash, who, pulmonary_embolism, the_lungs, blood_flow, parts, gums, i, dementia, stroke, redness, a_tia, a_dvt, heart_valves, patient, transient_ischemic_attack, neurological_symptoms","Neurologist, Pulmonologist"
antisocial personality disorder,"wit, personal_gain, problems, no_regard, that, the_effect_aging, system:'you, charm, patients, people, symptoms, conduct_disorder, animals, destruction, dishonesty, an_increased_awareness, criminal_behavior, or_other_factors, antisocial_personality_disorder, advantage, no_guilt, adults, serious_violation, rules, particularly_destructive_and_criminal_behavior, time, superiority, this_decrease, work, right, lies, property, some_people, it, antisocial_behavior, certain_symptoms, body, others, pleasure, a_lifelong_condition, their_mind, aggression, self, their_life, the_safety, the_impact, i, the_age, financial_responsibilities, dangerous_things, the_law, a_result, patient, theft, a_sense, ongoing_behavior_problems",Psychiatrist
anxiety,"situation, the_child's_developmental_level, a_physical_health_problem, anything, agoraphobia, school, the_urge, worry, shortness, panic, trouble, embarrassment, any_other_anxiety_disorders, specific_phobias, a_childhood_disorder, other_anxiety_disorders, separation_anxiety_disorder, impending_doom, concern, chest_pain, things, panic_attacks, a_desire, phobias_provoke_panic_attacks, social_phobia, the_present_worry, i, an_increased_heart_rate_breathing_rapidly_(hyperventilation)_sweating, patient, certain_situations, routine_issues, unspecified_anxiety_disorder, situations, system:'you, patients, children, weak_or_tired_trouble, ag, excessive_worrying, a_type, places, which, these_panic_attacks, anxiety_disorders, social_functioning, some_people, feelings, it, activities, others, high_levels, anxiety__several_types, parental_roles, increased_heart_rate, sudden_feelings, repeated_episodes, who, restlessness, a_direct_result, ruh-foe, that, events, terror, substance-induced_anxiety_disorder, medications, phobias, work, proportion, parents, a_consistent_failure, social_anxiety_disorder, self-consciousness, doom, the_worry, a_sense, the_actual_circumstance, generalized_anxiety_disorder, gastrointestinal_(gi)_problems, a_peak, symptoms, a_toxic_substance, persistent_and_excessive_anxiety, terms, fear, avoidance, anxiety_disorder, minutes, them, a_specific_object, other_situations, intense_anxiety, fluttering_or_pounding_heart, major_anxiety, close_family_members, impending_danger, common_anxiety_signs, misusing_drugs, panic_disorder, drugs, home, you, difficulty, social_situations, depression, anxiety, heart_palpitations, separation, withdrawal, the_exact_criteria, breath, selective_mutism, this, a_medical_condition, they","Psychiatrist, Pulmonologist"
aortic dissection,"movement, that, breath_symptoms, system:'you, typical_signs, patients, a_tearing, symptoms, weak_pulse, aortic_dissection_symptoms, one_side, thigh, the_other_leg_pain_difficulty, your_body, a_stroke, loss, sudden_severe_chest, consciousness_shortness, and_weakness, one_arm, difficulty, a_heart_attack, sensation, those, other_heart_problems, upper_back_pain, paralysis, i, patient, the_back_sudden_severe_stomach_pain_loss, sudden_vision_problems, the_neck",Cardiologist
aortic stenosis,"narrowing, activity_fatigue, activity_shortness, system:'you, many_years, a_stethoscope_chest_pain, patients, children, symptoms, heart_failure_symptoms, and_swollen_ankles, heartbeat_(palpitations, times, feet, an_irregular_heart_sound, shortness, heart_murmur, some_people, enough_weight, heart_failure, aortic_valve_stenosis, tightness, i, activity, breath, fatigue, patient, increased_activity, the_valve, angina",Cardiologist
aortic valve disease,"some_people, enough_weight, signs, active_irregular_heartbeat_shortness, vigorous_activity, system:'you, i, many_years, patients, aortic_valve_disease, activity, less_ability, breath, symptoms, children, patient, whooshing_or_swishing_heart_sound_(heart_murmur)_chest_pain_or_tightness_dizziness_fainting_fatigue, aortic_valve_stenosis",Cardiologist
aortic valve regurgitation,"lightheadedness, an_infection, signs, your_activity_level_heart, weakness, system:'you, patients, aortic_valve_regurgitation, no_signs, symptoms, exercise, heartbeat_(palpitations, feet, the_condition, shortness, angina, years, murmur_irregular_pulse, you, chest_pain, tightness, i, swollen_ankles, breath, a_result, patient, arrhythmia, discomfort, the_valve, exercise_sensations, fatigue",Cardiologist
aphasia,"they, a_person, that, a_particular_type, system:'you, patients, other_people's_conversation, sense__patterns, each_person, different_strengths, a_symptom, some_other_condition, speech_difficulty, these_types, words, one_word, time, weaknesses, many_people, their_speech_patterns, unique_symptoms, aphasia_global_aphasia, strengths, :__logopenic_aphasia_semantic_aphasia_agrammatism, another, a_stroke, one_sound, short_or_incomplete_sentences, it, these_names, a_brain_tumor, the_aphasia, others, broca's_aphasia__wernicke_aphasia_transcortical_aphasia_conduction_aphasia, difficulty, aphasia, the_person, what, sense, different_types, these_patterns, patterns, someone, i, sentences, patient, aphasia_people, another_speak_unrecognizable_words","Neurologist, Oncologist"
